,x_val,y_val,data_channel
128037,142,123,160.0
491755,472,193,163.0
470924,453,258,150.0
491263,471,810,183.0
371403,361,578,207.0
73349,90,1036,167.0
117583,132,556,171.0
21440,40,547,112.0
229520,233,1079,152.0
413825,400,290,158.0
436973,421,960,98.0
293372,291,355,219.0
167302,177,1019,207.0
513300,491,664,199.0
21758,40,906,138.0
176485,186,265,176.0
457611,440,1080,165.0
401660,389,9,162.0
365212,355,1047,167.0
188317,196,1020,194.0
246322,249,67,212.0
294103,291,1087,185.0
412649,399,187,163.0
148209,160,618,157.0
26103,45,74,95.0
444256,428,681,141.0
296022,293,780,217.0
99335,115,634,190.0
117565,132,537,185.0
369977,360,261,167.0
128896,142,1002,190.0
323900,318,855,208.0
194769,202,817,165.0
357640,349,141,199.0
58072,76,180,150.0
432755,417,1036,139.0
506312,485,334,141.0
205895,212,821,204.0
99782,115,1097,135.0
540565,516,141,205.0
176643,186,424,199.0
338712,332,110,208.0
369137,359,531,195.0
130091,143,1111,186.0
478234,459,995,163.0
28114,47,38,89.0
393231,381,332,166.0
510148,488,848,195.0
384738,373,637,180.0
523929,501,182,189.0
1046,16,598,89.0
214142,220,170,210.0
454013,437,740,174.0
342949,335,1011,209.0
545081,520,206,212.0
535123,511,258,178.0
486566,467,512,182.0
206112,212,1038,193.0
438026,422,947,166.0
507159,486,72,147.0
243,13,876,101.0
220462,225,928,217.0
250784,253,77,121.0
169688,180,98,206.0
5271,23,547,128.0
275825,275,624,217.0
501507,480,1082,158.0
314240,310,87,165.0
447741,431,941,152.0
33229,52,50,149.0
315861,311,595,219.0
63052,81,20,103.0
69595,87,361,118.0
555157,529,264,217.0
295627,293,385,219.0
350471,342,756,182.0
71757,89,441,174.0
101064,117,210,144.0
499020,478,811,163.0
197675,205,387,201.0
78356,95,857,163.0
406375,393,380,176.0
304903,301,764,191.0
78788,96,210,95.0
470768,453,99,134.0
342226,335,288,196.0
404490,391,668,150.0
22807,41,921,158.0
81788,99,52,147.0
190343,198,831,199.0
91850,108,646,168.0
212444,218,697,174.0
371104,361,279,205.0
441537,426,123,197.0
483934,465,81,158.0
478546,460,193,189.0
267123,267,829,191.0
488289,469,38,182.0
264322,265,255,216.0
370396,360,683,180.0
113255,128,546,113.0
440162,424,928,142.0
368310,358,815,187.0
87904,104,949,157.0
254279,256,234,218.0
475111,457,58,163.0
390710,378,1110,167.0
146309,158,922,179.0
420010,406,34,163.0
88694,105,670,152.0
249741,252,147,219.0
395249,383,150,200.0
377441,366,1075,158.0
296788,294,432,204.0
461834,444,978,149.0
237973,241,626,219.0
36071,54,871,147.0
56416,74,619,127.0
270291,270,657,199.0
382449,371,555,187.0
264333,265,266,200.0
175316,185,201,211.0
353067,345,14,145.0
394957,382,964,103.0
310159,306,458,196.0
425097,410,873,138.0
270786,271,38,89.0
14535,33,675,135.0
449861,433,899,163.0
313764,309,724,113.0
377701,367,223,178.0
191784,200,48,162.0
503885,483,127,195.0
362715,353,772,180.0
54575,72,855,139.0
296397,294,41,205.0
376232,365,972,152.0
562410,535,835,204.0
15917,35,19,90.0
283075,282,77,168.0
486722,467,672,154.0
397725,385,444,134.0
28735,47,708,90.0
410443,397,135,209.0
275381,275,179,215.0
457181,440,642,182.0
70704,88,435,176.0
220448,225,914,218.0
336125,329,862,210.0
377500,367,20,113.0
378143,367,665,167.0
443420,427,935,160.0
78046,95,520,170.0
23882,42,974,179.0
508013,486,929,195.0
310304,306,603,208.0
530004,506,700,189.0
506829,485,853,134.0
422450,408,362,134.0
475727,457,685,128.0
115520,130,646,183.0
450156,434,95,174.0
562387,535,812,219.0
551822,526,267,167.0
161267,172,486,176.0
502426,481,890,211.0
258134,259,749,210.0
172423,182,633,139.0
211683,217,1048,215.0
