,x_val,y_val,data_channel
128037,317,153,119.0
267336,529,355,206.0
73349,213,257,87.0
117583,299,35,129.0
21440,85,125,104.0
229520,477,424,196.0
167302,385,276,138.0
21758,86,35,100.0
176485,399,632,156.0
166802,384,415,105.0
51668,165,127,129.0
188317,417,635,154.0
246322,500,529,196.0
92740,252,261,113.0
221143,465,683,182.0
148209,353,70,150.0
26103,97,712,87.0
175582,398,315,144.0
120809,304,488,100.0
99335,264,650,94.0
117565,299,15,100.0
265750,527,234,183.0
199169,434,25,139.0
128896,318,538,92.0
194769,427,411,119.0
58072,180,180,98.0
131503,323,195,116.0
167914,386,250,149.0
205895,443,678,161.0
99782,265,537,87.0
16277,71,327,94.0
192049,423,355,142.0
176643,400,84,94.0
130091,320,603,109.0
132916,325,533,115.0
271696,535,317,214.0
95529,257,445,87.0
28114,103,380,107.0
143385,344,570,113.0
208239,447,252,132.0
75368,217,378,170.0
1046,33,331,100.0
112393,289,475,118.0
150503,356,712,128.0
214142,455,700,176.0
238871,490,369,182.0
101732,269,286,107.0
82075,231,217,90.0
20793,83,338,92.0
10835,58,634,145.0
206112,444,170,113.0
187810,417,78,103.0
165519,382,356,141.0
76527,219,706,162.0
89881,246,512,94.0
