,x_val,y_val,data_channel
128037,317,153,119.0
267336,529,355,206.0
73349,213,257,87.0
117583,299,35,129.0
21440,85,125,104.0
229520,477,424,196.0
167302,385,276,138.0
21758,86,35,100.0
176485,399,632,156.0
166802,384,415,105.0
51668,165,127,129.0
188317,417,635,154.0
246322,500,529,196.0
92740,252,261,113.0
221143,465,683,182.0
148209,353,70,150.0
26103,97,712,87.0
175582,398,315,144.0
120809,304,488,100.0
99335,264,650,94.0
117565,299,15,100.0
265750,527,234,183.0
199169,434,25,139.0
128896,318,538,92.0
194769,427,411,119.0
58072,180,180,98.0
131503,323,195,116.0
167914,386,250,149.0
