,x_val,y_val,data_channel
209592,314,48,162.0
191429,289,182,186.0
138825,217,313,208.0
103732,169,170,187.0
66137,116,510,174.0
299547,438,669,167.0
182315,276,593,220.0
324609,473,541,128.0
43346,83,552,160.0
189022,285,705,176.0
171860,262,392,180.0
205342,308,188,204.0
146279,227,446,205.0
33856,69,510,158.0
345238,501,721,158.0
122676,195,237,167.0
177795,270,468,218.0
155718,240,363,218.0
352908,512,347,206.0
84198,142,81,179.0
177235,269,639,219.0
319215,466,217,137.0
263344,387,587,142.0
82237,139,274,156.0
52388,97,8,98.0
130327,205,594,150.0
310678,454,363,127.0
40570,79,493,144.0
354780,515,23,154.0
184569,279,648,214.0
138591,217,79,183.0
254517,375,421,192.0
166793,255,454,218.0
285353,418,656,176.0
157113,242,294,217.0
317805,464,261,147.0
215798,322,405,162.0
176490,268,627,218.0
327563,477,576,176.0
16489,43,696,94.0
118820,190,25,152.0
121968,194,256,196.0
5278,26,445,107.0
97395,160,345,195.0
153812,237,655,210.0
368569,533,630,211.0
320291,467,578,197.0
126377,200,295,217.0
275202,404,363,150.0
123093,195,654,152.0
176749,269,153,220.0
86864,145,603,182.0
19227,48,50,128.0
104776,170,491,132.0
104988,170,704,192.0
145026,225,658,174.0
231139,343,393,199.0
235917,350,52,188.0
177577,270,250,210.0
93476,155,24,157.0
72420,125,417,104.0
160936,247,454,220.0
332001,483,635,193.0
254271,375,174,170.0
68083,119,331,191.0
105832,172,100,179.0
211161,316,154,215.0
185319,280,665,218.0
53360,98,311,125.0
293221,429,729,195.0
322050,470,163,197.0
97378,160,328,174.0
192206,290,226,195.0
222890,332,188,199.0
4890,25,684,122.0
291048,426,692,153.0
247354,365,532,199.0
307071,449,341,190.0
202716,304,490,219.0
232997,346,57,181.0
285673,419,258,112.0
358888,520,473,208.0
280331,411,566,196.0
363014,526,203,207.0
75872,130,315,186.0
134798,211,676,167.0
248011,366,459,174.0
143267,223,364,187.0
379,15,246,105.0
68128,119,378,158.0
286318,420,198,152.0
203441,305,483,220.0
169850,259,581,219.0
301184,441,143,134.0
20118,49,286,132.0
87137,146,158,191.0
159174,245,158,200.0
239268,354,474,204.0
215835,322,442,212.0
355813,516,325,199.0
353894,513,601,211.0
42482,82,366,139.0
135902,213,317,176.0
44409,85,235,161.0
66354,116,732,95.0
49966,93,344,179.0
16903,44,426,166.0
161237,248,22,189.0
258320,380,611,174.0
99997,164,57,123.0
155643,240,288,210.0
222202,331,233,206.0
124686,198,58,200.0
359582,521,434,187.0
13719,39,610,119.0
252354,372,439,182.0
230108,342,92,196.0
156352,241,264,220.0
2791,22,81,92.0
355468,515,713,200.0
299665,439,58,152.0
357114,518,162,182.0
303521,444,356,174.0
340490,495,362,199.0
236572,350,709,196.0
276457,406,205,183.0
147281,228,716,216.0
60037,108,43,98.0
196650,296,280,219.0
91734,152,443,191.0
190265,287,483,219.0
164152,252,7,176.0
236110,350,246,131.0
221015,329,510,219.0
139258,218,14,147.0
230097,342,81,182.0
311178,455,135,176.0
138952,217,440,220.0
300848,440,532,115.0
6645,28,642,123.0
277267,407,314,171.0
221517,330,281,210.0
169220,258,683,192.0
331736,483,370,203.0
2994,22,345,139.0
101188,165,530,212.0
42627,82,518,162.0
165562,253,686,218.0
60940,109,248,176.0
359741,521,593,180.0
