,x_val,y_val,data_channel
0,14,27,87.0
1,17,25,87.0
2,17,568,94.0
3,17,1109,96.0
4,18,75,101.0
5,18,335,90.0
6,18,648,90.0
7,18,649,89.0
8,18,650,92.0
9,18,707,87.0
10,18,719,95.0
11,18,834,94.0
12,19,67,94.0
13,19,188,86.0
14,19,193,90.0
15,19,249,90.0
16,19,452,89.0
17,19,453,101.0
18,19,619,95.0
19,19,627,90.0
20,19,710,86.0
21,20,16,109.0
22,20,25,112.0
23,20,80,86.0
24,20,105,96.0
25,20,343,89.0
26,20,452,101.0
27,20,618,87.0
28,20,731,89.0
29,20,917,89.0
30,21,25,110.0
31,21,27,112.0
32,21,341,101.0
33,21,353,101.0
34,21,453,87.0
35,21,722,86.0
36,21,917,87.0
37,21,1068,89.0
38,21,1109,98.0
39,22,57,95.0
40,22,96,89.0
41,22,252,96.0
42,22,327,89.0
43,22,341,92.0
44,22,438,87.0
45,22,453,96.0
46,22,585,87.0
47,22,586,86.0
48,22,660,90.0
49,22,782,95.0
50,22,1109,92.0
51,23,7,90.0
52,23,25,89.0
53,23,27,100.0
54,23,50,87.0
55,23,67,89.0
56,23,94,86.0
57,23,119,86.0
58,23,213,96.0
59,23,256,87.0
60,23,264,87.0
61,23,329,86.0
62,23,357,87.0
63,23,474,89.0
64,23,573,92.0
65,23,663,89.0
66,23,780,89.0
67,23,1015,95.0
68,24,25,116.0
69,24,27,100.0
70,24,60,96.0
71,24,61,104.0
72,24,62,96.0
73,24,74,105.0
74,24,101,87.0
75,24,103,94.0
76,24,106,89.0
77,24,186,95.0
78,24,215,89.0
79,24,227,94.0
80,24,329,89.0
81,24,357,92.0
82,24,413,92.0
83,24,438,86.0
84,24,452,96.0
85,24,453,95.0
86,24,454,90.0
87,24,490,87.0
88,24,564,87.0
89,24,567,92.0
90,24,585,86.0
91,24,628,86.0
92,24,646,92.0
93,24,711,86.0
94,24,766,89.0
95,24,777,87.0
96,24,778,87.0
97,24,1016,95.0
98,24,1046,86.0
99,24,1069,87.0
