x_val,y_val,data_channel
142,123,160
472,193,163
453,258,150
471,810,183
361,578,207
90,1036,167
132,556,171
40,547,112
233,1079,152
400,290,158
421,960,98
291,355,219
177,1019,207
491,664,199
40,906,138
186,265,176
440,1080,165
389,9,162
355,1047,167
196,1020,194
249,67,212
291,1087,185
399,187,163
160,618,157
45,74,95
428,681,141
293,780,217
115,634,190
132,537,185
360,261,167
142,1002,190
318,855,208
202,817,165
349,141,199
76,180,150
417,1036,139
485,334,141
212,821,204
115,1097,135
516,141,205
186,424,199
332,110,208
359,531,195
143,1111,186
459,995,163
47,38,89
381,332,166
488,848,195
373,637,180
501,182,189
16,598,89
220,170,210
437,740,174
335,1011,209
520,206,212
511,258,178
467,512,182
212,1038,193
422,947,166
486,72,147
13,876,101
225,928,217
253,77,121
180,98,206
23,547,128
275,624,217
480,1082,158
310,87,165
431,941,152
52,50,149
311,595,219
81,20,103
87,361,118
529,264,217
293,385,219
342,756,182
89,441,174
117,210,144
478,811,163
205,387,201
95,857,163
393,380,176
301,764,191
96,210,95
453,99,134
335,288,196
391,668,150
41,921,158
99,52,147
198,831,199
108,646,168
218,697,174
361,279,205
426,123,197
465,81,158
460,193,189
267,829,191
469,38,182
265,255,216
360,683,180
128,546,113
424,928,142
358,815,187
104,949,157
256,234,218
457,58,163
378,1110,167
158,922,179
406,34,163
105,670,152
252,147,219
383,150,200
366,1075,158
294,432,204
444,978,149
241,626,219
54,871,147
74,619,127
270,657,199
371,555,187
265,266,200
185,201,211
345,14,145
382,964,103
306,458,196
410,873,138
271,38,89
33,675,135
433,899,163
309,724,113
367,223,178
200,48,162
483,127,195
353,772,180
72,855,139
294,41,205
365,972,152
535,835,204
35,19,90
282,77,168
467,672,154
385,444,134
47,708,90
397,135,209
275,179,215
440,642,182
88,435,176
225,914,218
329,862,210
367,20,113
367,665,167
427,935,160
95,520,170
42,974,179
486,929,195
306,603,208
506,700,189
485,853,134
408,362,134
457,685,128
130,646,183
434,95,174
535,812,219
526,267,167
172,486,176
481,890,211
259,749,210
182,633,139
217,1048,215
421,650,165
399,990,163
483,340,202
71,647,137
346,883,194
286,1094,215
506,1019,210
232,793,183
303,535,212
109,105,104
90,593,167
525,550,180
501,92,195
35,388,152
368,80,132
378,219,154
168,1034,196
79,110,152
313,785,197
195,384,201
130,1019,161
342,135,208
364,408,196
331,1113,206
180,856,147
297,1008,185
399,449,154
532,1111,217
96,318,157
263,995,220
386,928,180
286,594,217
316,895,212
433,830,174
246,117,215
70,280,135
203,795,189
33,198,110
22,890,131
467,45,165
238,541,215
194,117,174
